Statistical profiling result from isolate-0x102004600-v8.log, (1169 ticks, 124 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    643   55.0%          /Users/jimdebeer/.nvm/versions/node/v6.3.1/bin/node
     44    3.8%          /usr/lib/system/libsystem_malloc.dylib
     26    2.2%          /usr/lib/system/libsystem_platform.dylib
     20    1.7%          /usr/lib/system/libsystem_kernel.dylib
      7    0.6%          /usr/lib/system/libsystem_c.dylib
      3    0.3%          /usr/lib/libc++abi.dylib
      2    0.2%          /usr/lib/system/libsystem_pthread.dylib
      2    0.2%          /usr/lib/system/libsystem_m.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     39    3.3%    9.2%  Stub: LoadICStub
     15    1.3%    3.6%  KeyedLoadIC: A keyed load IC from the snapshot
     10    0.9%    2.4%  Stub: StringCompareStub
     10    0.9%    2.4%  LazyCompile: ~exports.set /Users/jimdebeer/dev/play/base/lib/set/index.js:13:24
      9    0.8%    2.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      8    0.7%    1.9%  LazyCompile: ~serialize /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:16:37
      8    0.7%    1.9%  LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
      7    0.6%    1.7%  Builtin: CallFunction_ReceiverIsAny
      6    0.5%    1.4%  LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32
      6    0.5%    1.4%  LazyCompile: *exports.type /Users/jimdebeer/dev/play/stamp/lib/index.js:117:25
      6    0.5%    1.4%  LazyCompile: *<anonymous> /Users/jimdebeer/dev/play/util/define.js:79:14
      5    0.4%    1.2%  Builtin: Call_ReceiverIsNotNullOrUndefined
      4    0.3%    0.9%  Stub: ToBooleanStub(Undefined,SpecObject)
      4    0.3%    0.9%  LazyCompile: *module.exports /Users/jimdebeer/dev/play/base/lib/keys/method.js:5:27
      4    0.3%    0.9%  LazyCompile: *exports.val /Users/jimdebeer/dev/play/stamp/lib/index.js:85:24
      4    0.3%    0.9%  LazyCompile: *exports.cParent /Users/jimdebeer/dev/play/base/lib/context/parent.js:10:28
      4    0.3%    0.9%  LazyCompile: *<anonymous> :1:10
      4    0.3%    0.9%  KeyedStoreIC: A keyed store IC from the snapshot
      4    0.3%    0.9%  Handler: An IC handler from the snapshot {2}
      3    0.3%    0.7%  Stub: SubStringStub
      3    0.3%    0.7%  Stub: NumberToStringStub
      3    0.3%    0.7%  Stub: FastNewObjectStub
      3    0.3%    0.7%  Stub: CEntryStub {1}
      3    0.3%    0.7%  LazyCompile: ~getRoot /Users/jimdebeer/dev/play/base/lib/method/root.js:10:11
      3    0.3%    0.7%  LazyCompile: ~exports.setKeyInternal /Users/jimdebeer/dev/play/base/lib/set/property/internal.js:16:35
      3    0.3%    0.7%  LazyCompile: ~create /Users/jimdebeer/dev/play/state/lib/subscribe/val.js:15:34
      3    0.3%    0.7%  LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      3    0.3%    0.7%  LazyCompile: *exports.define.serialize /Users/jimdebeer/dev/play/base/lib/method/serialize.js:12:23
      2    0.2%    0.5%  Stub: ToBooleanStub(Undefined,Bool)
      2    0.2%    0.5%  Stub: ToBooleanStub(Bool,Null,SpecObject)
      2    0.2%    0.5%  Stub: RegExpExecStub
      2    0.2%    0.5%  Stub: RecordWriteStub
      2    0.2%    0.5%  Stub: CompareICStub {5}
      2    0.2%    0.5%  Stub: CEntryStub
